Val: 0.05        Mean: 0.659394074188   StDev: 0.014110002404
Val: 0.0827586206897     Mean: 0.661638822593   StDev: 0.0165424647547
Val: 0.115517241379      Mean: 0.659013011009   StDev: 0.0154343414043
Val: 0.148275862069      Mean: 0.662687174048   StDev: 0.0128868767045
Val: 0.181034482759      Mean: 0.661208543982   StDev: 0.0173878982627
Val: 0.213793103448      Mean: 0.661113762928   StDev: 0.0117805125611
Val: 0.246551724138      Mean: 0.662306624124   StDev: 0.0185005988586
Val: 0.279310344828      Mean: 0.661638651509   StDev: 0.0148967029108
Val: 0.312068965517      Mean: 0.662307536577   StDev: 0.012685474374
Val: 0.344827586207      Mean: 0.662211671985   StDev: 0.016089657319
Val: 0.377586206897      Mean: 0.665888059127   StDev: 0.0158100612669
Val: 0.410344827586      Mean: 0.661733945817   StDev: 0.0149698498031
Val: 0.443103448276      Mean: 0.663166040781   StDev: 0.0121294561387
Val: 0.475862068966      Mean: 0.661111766937   StDev: 0.0174528454835
Val: 0.508620689655      Mean: 0.658295366735   StDev: 0.0158192175698
Val: 0.541379310345      Mean: 0.65862995184    StDev: 0.0132327092974
Val: 0.574137931034      Mean: 0.657009036136   StDev: 0.0150305012993
Val: 0.606896551724      Mean: 0.660062103831   StDev: 0.0142194718277
Val: 0.639655172414      Mean: 0.659155296647   StDev: 0.0173116385976
Val: 0.672413793103      Mean: 0.655098131467   StDev: 0.0176606307413
Val: 0.705172413793      Mean: 0.657101707143   StDev: 0.0157687219808
Val: 0.737931034483      Mean: 0.658869869947   StDev: 0.0198390120248
Val: 0.770689655172      Mean: 0.659920160364   StDev: 0.0150342694862
Val: 0.803448275862      Mean: 0.654812362597   StDev: 0.0215174486542
Val: 0.836206896552      Mean: 0.6589177167     StDev: 0.0190229848342
Val: 0.868965517241      Mean: 0.657865316236   StDev: 0.0172366224606
Val: 0.901724137931      Mean: 0.657914075443   StDev: 0.0195788704476
Val: 0.934482758621      Mean: 0.655623419246   StDev: 0.013283427883
Val: 0.96724137931       Mean: 0.655861683533   StDev: 0.0164983680253
Val: 1.0         Mean: 0.653760361331   StDev: 0.0200639557809
