Val: 5.0         Mean: 0.681070364382   StDev: 0.0113108895737
Val: 6.89655172414       Mean: 0.681022745742   StDev: 0.0163814357145
Val: 8.79310344828       Mean: 0.679448764339   StDev: 0.0167672386351
Val: 10.6896551724       Mean: 0.681643384858   StDev: 0.0140382570272
Val: 12.5862068966       Mean: 0.679208275949   StDev: 0.0140780003142
Val: 14.4827586207       Mean: 0.681119123589   StDev: 0.0115905443971
Val: 16.3793103448       Mean: 0.680498313388   StDev: 0.0141069254664
Val: 18.275862069        Mean: 0.680832043068   StDev: 0.0148272965668
Val: 20.1724137931       Mean: 0.680544677405   StDev: 0.0134616963329
Val: 22.0689655172       Mean: 0.681929552927   StDev: 0.0127416809065
Val: 23.9655172414       Mean: 0.681451598646   StDev: 0.0145736619304
Val: 25.8620689655       Mean: 0.681596108388   StDev: 0.012067559899
Val: 27.7586206897       Mean: 0.682885119317   StDev: 0.0161975818746
Val: 29.6551724138       Mean: 0.683076335247   StDev: 0.0163281764018
Val: 31.5517241379       Mean: 0.680546616368   StDev: 0.0130561548633
Val: 33.4482758621       Mean: 0.68412708189    StDev: 0.0126561446943
Val: 35.3448275862       Mean: 0.683076506332   StDev: 0.0127467737236
Val: 37.2413793103       Mean: 0.680545076603   StDev: 0.0133754631371
Val: 39.1379310345       Mean: 0.683171059272   StDev: 0.0118443271024
Val: 41.0344827586       Mean: 0.682408191547   StDev: 0.0138983258652
Val: 42.9310344828       Mean: 0.681453651665   StDev: 0.0112960104736
Val: 44.8275862069       Mean: 0.682073435357   StDev: 0.0120875179004
Val: 46.724137931        Mean: 0.679923810176   StDev: 0.0142322612897
Val: 48.6206896552       Mean: 0.679638212391   StDev: 0.0118228004144
Val: 50.5172413793       Mean: 0.677299025101   StDev: 0.0139462299264
Val: 52.4137931034       Mean: 0.680449953379   StDev: 0.00982936533504
Val: 54.3103448276       Mean: 0.67892313439    StDev: 0.0106311464928
Val: 56.2068965517       Mean: 0.677395174835   StDev: 0.0166052313522
Val: 58.1034482759       Mean: 0.678397618498   StDev: 0.0130643157522
Val: 60.0        Mean: 0.67815906907    StDev: 0.0126603503743
